sample_id,source,time_bucket_id,atoms,native_delta_time_ps,rollout_frame0_rmsd,rollout_future_rmsd,rollout_future_drmsd,rollout_future_bond_rmse,rollout_future_contact_error,rollout_future_clash_rate,rollout_velocity_rmse,rollout_acceleration_rmse,rollout_frequency_retention,one_step_rmsd,one_step_drmsd,one_step_bond_rmse,one_step_contact_error,one_step_clash_rate,elapsed_s
atlas_3bl9_A_R1_w000000,atlas,dt_100ps,2466,100.0,0.0,3.834005766783165,2.421143944445547,0.0390055405064739,0.00016746329492889345,2.197104365109226e-08,0.011247890243749586,0.00017570327107661586,0.08373410999774933,1.886492666279288,1.6142080383565716,0.037617854476870494,0.00010677926911739632,0.0,10.583070903085172
atlas_3bl9_A_R1_w000001,atlas,dt_100ps,2466,100.0,0.0,2.5862561170783143,2.0189901250453204,0.038563482383900116,0.00010981127707054839,0.0,0.010890321662714237,0.0001765399525043769,0.16034966707229614,2.154609609057717,1.7435547804851128,0.03866640826561267,7.711836224189028e-05,0.0,9.8062570419861
misato_4U03_w000000,misato,dt_80ps,3166,80.0,0.0,1.8495221706566176,1.3958480131981048,0.04068788077319822,7.13600602466613e-05,0.0,0.009620056541400992,0.00019738319081378215,0.378500372171402,1.3304472871707937,0.979391501700915,0.03989918483669498,0.00010672031930880621,0.0,12.549153632950038
misato_4U03_w000001,misato,dt_80ps,3166,80.0,0.0,1.9139881353140105,1.3974065976670824,0.04044838043580138,0.00010925177048193291,0.0,0.009230881263519824,0.00018976789726264512,0.3493659496307373,1.195460191964542,0.9631797248200267,0.038090351044632584,7.834150892449543e-05,0.0,12.506065426045097
misato_4U03_w000002,misato,dt_80ps,3166,80.0,0.0,1.6904966802781642,1.3430912709782756,0.04078758801157186,0.00015154019638430327,0.0,0.009472987495485542,0.0001977818096664114,0.4727294445037842,1.3210054644429041,1.0617229200538105,0.037979228662127495,7.754210673738271e-05,0.0,12.414813201059587
atlas_3bl9_A_R1_w000002,atlas,dt_100ps,2466,100.0,0.0,2.8597378526601873,2.252115314925866,0.03890831439159985,8.836753841023892e-05,0.0,0.011659000485614517,0.00018746250185774736,0.11651892960071564,1.8585241598960935,1.4393120829868884,0.037684689764362234,3.427482442930341e-05,0.0,9.444341673981398
atlas_3bl9_A_R1_w000003,atlas,dt_100ps,2466,100.0,0.0,3.61091244142917,3.007231420889756,0.03906879821309279,9.386029705638066e-05,0.0,0.011987613170950885,0.00018855048284976576,0.10510790348052979,2.5466984412655984,1.7127995222129315,0.03638819386435116,9.491490345681086e-05,0.0,9.445264848996885
misato_4U03_w000003,misato,dt_80ps,3166,80.0,0.0,1.9039680079609387,1.4073764104432038,0.040937074591249935,0.00013004957872908562,0.0,0.009624223407040068,0.00019918705839320607,0.38554462790489197,1.2703580540821116,1.0034571730479978,0.03868978277196262,9.053240501089022e-05,0.0,12.292533754953183
atlas_3bl9_A_R1_w000004,atlas,dt_100ps,2466,100.0,0.0,4.179750474116715,3.006398212800198,0.038575922348936705,4.1217677789973095e-05,0.0,0.010330933737806315,0.00015986375755453657,0.10583941638469696,2.080304372598829,1.4910753509496,0.0372207078928208,5.767398761236109e-05,0.0,9.451264085015282
atlas_3bl9_A_R1_w000005,atlas,dt_100ps,2466,100.0,0.0,3.91708689660495,2.467642910112773,0.0384056885408026,9.397015674039721e-05,0.0,0.011256182041190098,0.00017802724042248908,0.07505302131175995,2.032129654780396,1.3422455904982877,0.036506125865867926,6.294703780440614e-05,0.0,9.450811435934156
misato_4U03_w000004,misato,dt_80ps,3166,80.0,0.0,1.7714006599741172,1.36311815920394,0.04389880951779614,0.0001264922320842743,0.0,0.009332310896058087,0.00019132296227797433,0.4115169942378998,1.3633306106331895,1.0371121911192052,0.036505124529475096,5.196120582695585e-06,0.0,12.24334317096509
misato_4U03_w000005,misato,dt_80ps,3166,80.0,0.0,1.691805045883892,1.2788792984254225,0.041264174017065225,0.0001212961069541052,0.0,0.009335336236241616,0.0001922352181894113,0.43894028663635254,1.3615474661048967,1.0540051548884246,0.03837858459590239,0.00014489181921817362,0.0,12.229853886994533
misato_5ZU0_w000000,misato,dt_80ps,3150,80.0,0.0,2.0703376048743207,1.5149040473792765,0.04013572341260246,7.052605360513553e-05,0.0,0.009948479248455698,0.00020336776375215034,0.401265949010849,1.260472819230829,0.8959192560079439,0.038461326835811216,4.9866219342220575e-05,0.0,12.05786313104909
misato_5ZU0_w000001,misato,dt_80ps,3150,80.0,0.0,1.8791869780576884,1.4057300878095158,0.04059804213371763,9.90191037999466e-05,0.0,0.010487832531196607,0.00021669433993751268,0.3325677514076233,1.3870741267923852,1.0693499281155263,0.037764790846151274,7.71210397942923e-05,0.0,12.040774783934467
atlas_3bl9_A_R1_w000006,atlas,dt_100ps,2466,100.0,0.0,3.6536154098857327,2.4321065065753538,0.03810614881001533,5.128041811985895e-05,0.0,0.011537389648477463,0.00018237155151889175,0.10828852653503418,1.5816013081629605,1.1544653032193217,0.038095246913420526,1.977393912966363e-05,0.0,9.3943265019916
atlas_3bl9_A_R1_w000007,atlas,dt_100ps,2466,100.0,0.0,3.6543910851865884,2.495019911570018,0.039370379983449985,0.00011767691466957331,0.0,0.011593585479931738,0.00018796197855802302,0.10269075632095337,2.214397513296407,1.3333809466602655,0.03709912629150624,7.31635736883618e-05,0.0,9.490418305969797
misato_5ZU0_w000002,misato,dt_80ps,3150,80.0,0.0,1.953822690327827,1.5037940045368763,0.04067508642899505,8.165678445948288e-05,0.0,0.01056520299783342,0.00021662136149627374,0.36223021149635315,1.503109649135694,1.099777723742955,0.03877487836376516,0.00010639472748152912,0.0,12.108895023004152
misato_5ZU0_w000003,misato,dt_80ps,3150,80.0,0.0,1.8938675494583452,1.4122086486110734,0.040353853231311805,0.00010662354179657996,0.0,0.009996303367764758,0.00020573291534580805,0.40456435084342957,1.271214704145466,0.9675169757960435,0.03824559090893215,5.289453474688344e-05,0.0,12.097796899965033
atlas_3bl9_A_R1_w000008,atlas,dt_100ps,2466,100.0,0.0,3.702943177729066,2.5287774336906494,0.04369864776184074,5.222517211223021e-05,0.0,0.011886643812406868,0.00018623496774923667,0.10850223153829575,2.0709676605602576,1.5857004824765435,0.0367859831689001,8.436880307272077e-05,0.0,9.435463413014077
atlas_3bl9_A_R1_w000009,atlas,dt_100ps,2466,100.0,0.0,4.51229915436103,2.840702478004777,0.038530187284029814,6.233184831216931e-05,0.0,0.011630696048118293,0.0001801340428723618,0.05198425427079201,1.7661219209855719,1.4147920359992676,0.03764259761136244,0.00010150621528737247,0.0,9.440616823965684
misato_5ZU0_w000004,misato,dt_80ps,3150,80.0,0.0,1.8446579976463495,1.3842057789867526,0.0404581706176766,0.00013942352961748838,0.0,0.00994751160708579,0.00020638018523547942,0.39618411660194397,1.2789761439701632,0.9631819835542248,0.03919374946677272,5.3702082368545234e-05,0.0,12.100253283046186
misato_5ZU0_w000005,misato,dt_80ps,3150,80.0,0.0,1.8774632486131888,1.4615298615523074,0.04335523587738387,0.00010364906484028324,0.0,0.010294995124290704,0.00021127750638467554,0.3804015815258026,1.4036559020219763,1.0485379689681527,0.03827351448182156,3.270577872171998e-05,0.0,12.098370887921192
misato_4DCV_w000000,misato,dt_80ps,3218,80.0,0.0,1.9625652593951222,1.3759853993572697,0.0423868987644997,4.681217978941277e-05,0.0,0.00985425501266682,0.00020364515467240812,0.36794909834861755,1.207090654115047,0.9653343775657499,0.040882131774617796,3.7333680666051805e-05,0.0,12.347771439002827
misato_4DCV_w000001,misato,dt_80ps,3218,80.0,0.0,1.9854873182996007,1.481520226532654,0.04126077430665884,3.9538881537737325e-05,0.0,0.010203554713353161,0.0002069554809367954,0.3656105101108551,1.277427553933332,0.9628827634416963,0.0408942848823604,5.687099110218696e-05,0.0,12.329746352974325
atlas_3bl9_A_R1_w000010,atlas,dt_100ps,2466,100.0,0.0,2.348997827664504,1.6985011196767257,0.039395873742403935,7.257035031216219e-05,0.0,0.010449942099744175,0.0001747796624538026,0.21958835422992706,1.8469149047878042,1.1683173536512985,0.03643413344396905,5.734441947424784e-05,0.0,9.744066398008727
atlas_3bl9_A_R1_w000011,atlas,dt_100ps,2466,100.0,0.0,3.08974837627379,2.3717560950669663,0.03834836669318956,3.0803403205936775e-05,0.0,0.011235236757306121,0.0001859164705616299,0.15085569024085999,1.7034116731210338,1.3117926826112443,0.03618272510761732,1.6148716895258985e-05,0.0,9.56912530597765
misato_4DCV_w000002,misato,dt_80ps,3218,80.0,0.0,1.8907799775469465,1.450927713834816,0.041934780868940126,8.865942800184712e-05,0.0,0.010046204962772294,0.00020612353089883393,0.3759583830833435,1.3391322256872715,1.0054613825980871,0.04036016770150011,0.00012089921801816672,0.0,12.379216141067445
misato_4DCV_w000003,misato,dt_80ps,3218,80.0,0.0,1.7121546348318104,1.3376089426040596,0.0417608999800584,4.9739552196115255e-05,0.0,0.009927680192131038,0.00020654995280595175,0.3966144919395447,1.2639615936933075,0.9960641295572965,0.04021420494061329,3.365834345459007e-05,0.0,12.345585527014919
misato_4DCV_w000004,misato,dt_80ps,3218,80.0,0.0,1.8270713182298586,1.3843230278644392,0.04213048926214715,3.78624172299169e-05,0.0,0.009828250471998656,0.00020363681550071466,0.423229843378067,1.270797708147508,1.0188613386102932,0.041755908370875845,3.7527119275182486e-05,0.0,12.344414177001454
